time_tick,att_X_value,att_Y_value,att_Z_value
6.997951,-1.384681,0.449657,-0.911499
7.027925,-1.436166,0.507835,-0.887902
7.072861,-1.546876,0.490911,-0.892960
7.102862,-1.617066,0.456666,-0.893547
7.122838,-1.687353,0.455601,-0.893173
7.167807,-1.627662,0.478957,-0.888626
7.207772,-1.292911,0.498912,-0.894472
7.237731,-1.268940,0.516199,-0.883656
7.252735,-1.064110,0.521592,-0.891496
7.312683,-0.850426,0.522710,-0.911873
7.342658,-0.805075,0.516807,-0.929669
7.372632,-0.745989,0.529918,-0.910199
7.402607,-0.661424,0.579893,-0.906743
7.437566,-0.733144,0.662029,-0.920134
7.462557,-0.667609,0.674814,-0.929310
7.507492,-0.555153,0.736285,-0.932873
7.537479,-0.560755,0.835785,-0.908131
7.567469,-0.645060,0.873582,-0.923061
7.612413,-0.801587,0.916525,-0.920653
7.642380,-0.646374,0.933921,-0.925884
7.672379,-0.475212,0.974673,-0.915720
7.702347,-0.470381,0.940063,-0.876865
7.732315,-0.623293,0.944985,-0.884807
7.777290,-0.564305,0.807395,-0.877311
7.807264,-0.526665,0.794192,-0.875502
7.837239,-1.054127,0.743999,-0.845295
7.867214,-1.057994,0.675289,-0.848085
7.902185,-1.382998,0.591342,-0.811377
7.932159,-1.125362,0.713214,-0.789124
7.972125,-1.088127,0.707031,-0.761210
8.002099,-1.213525,0.794305,-0.747264
8.047043,-1.334880,0.859984,-0.706138
8.062048,-1.063527,0.756474,-0.718149
8.091996,-1.102701,0.847496,-0.695701
8.136985,-0.815271,0.846496,-0.677235
8.166928,-0.794890,0.853619,-0.672365
8.196934,-0.853016,0.900700,-0.665219
8.241898,-0.747358,0.866841,-0.669497
8.261879,-0.734096,0.891806,-0.652125
8.301821,-0.697183,0.912334,-0.622093
8.331802,-0.740091,0.913664,-0.608281
8.366792,-0.765780,0.879733,-0.611107
8.406756,-0.824539,0.848707,-0.620412
8.436731,-0.752146,0.813799,-0.608161
8.481673,-0.886474,0.819199,-0.594818
8.501677,-0.962240,0.841773,-0.580968
8.531574,-0.940973,0.835008,-0.567724
8.561548,-0.893754,0.800161,-0.565413
8.591523,-0.884364,0.811346,-0.551851
8.631487,-0.979347,0.772746,-0.556201
8.676451,-0.867999,0.797714,-0.564086
8.706419,-0.973430,0.909267,-0.540695
8.736387,-0.563577,1.024946,-0.552096
8.766356,-0.395793,0.910686,-0.552324
8.811334,-0.108295,0.701806,-0.560193
8.831319,0.027064,0.666113,-0.551256
8.871284,-0.159387,0.632083,-0.548058
8.901259,-0.321879,0.617691,-0.555613
8.936230,-0.383205,0.607493,-0.532568
8.961209,-0.190571,0.657675,-0.532222
9.006170,-0.137989,0.555568,-0.522582
9.036144,-0.144515,0.523653,-0.520272
9.066119,-0.223391,0.497591,-0.506988
9.111068,-0.199150,0.373558,-0.518476
9.141035,-0.208883,0.472257,-0.499938
9.171019,-0.321434,0.598709,-0.489678
9.200988,-0.304882,0.609606,-0.507371
9.235973,-0.263644,0.593561,-0.526248
9.265925,-0.441202,0.695825,-0.515307
9.305911,-0.548789,0.689233,-0.554485
9.335873,-0.569795,0.646232,-0.579078
9.370862,-0.673833,0.643517,-0.595543
9.410825,-0.920832,0.575061,-0.643090
9.430812,-0.986087,0.607276,-0.675218
9.460786,-0.956451,0.575795,-0.644960
9.500731,-0.952101,0.442900,-0.625346
9.535722,-0.942205,0.328168,-0.584988
9.565697,-0.950842,0.229374,-0.539102
9.605661,-0.892219,0.132247,-0.552377
9.635636,-0.973694,0.073036,-0.539265
9.665610,-1.080177,0.006035,-0.539346
9.695584,-0.977837,-0.056665,-0.540052
9.740538,-0.824493,-0.125571,-0.522582
9.770506,-0.831029,-0.165435,-0.523774
9.800475,-0.960728,-0.110709,-0.512848
9.835468,-1.209356,-0.150038,-0.511114
9.875432,-1.729696,-0.133243,-0.514911
9.910404,-2.056651,-0.048320,-0.518686
9.935381,-2.206242,-0.056017,-0.525499
9.970353,-2.057042,-0.037143,-0.527087
10.000324,-1.740084,-0.030417,-0.531140
10.040282,-1.690123,-0.069931,-0.529421
10.070262,-1.809761,-0.097923,-0.537089
10.100241,-1.926626,-0.110804,-0.524518
10.135211,-1.790060,-0.141797,-0.554345
10.165169,-1.874218,-0.074653,-0.577410
10.205152,-1.932186,-0.160972,-0.580006
10.235127,-1.867267,-0.147945,-0.586633
10.265102,-1.858574,-0.188719,-0.583710
10.295076,-1.922610,-0.246313,-0.605538
10.330035,-1.880522,-0.292146,-0.619596
10.370013,-1.771076,-0.330622,-0.614317
10.399962,-1.809570,-0.400892,-0.608789
10.434959,-1.782576,-0.415211,-0.626903
10.474923,-1.969209,-0.562458,-0.633089
10.494909,-2.064490,-0.624686,-0.641451
10.534850,-1.910751,-0.691276,-0.583880
10.579835,-1.788625,-0.587060,-0.599071
